,Num_Passengers,hour,ts
0,5,5,9954
1,5,6,19554
2,5,7,10496
3,5,8,4772
4,5,9,2894
5,5,10,3505
6,5,11,5897
7,5,12,4793
8,5,13,943
9,5,14,141
10,5,15,4
11,6,5,4565
12,6,6,15463
13,6,7,10433
14,6,8,6164
15,6,9,3635
16,6,10,3043
17,6,11,6883
18,6,12,5959
19,6,13,1884
20,6,14,320
21,6,15,58
22,7,5,2171
23,7,6,11601
24,7,7,10404
25,7,8,6299
26,7,9,4026
27,7,10,3477
28,7,11,7180
29,7,12,6900
30,7,13,3034
31,7,14,604
32,7,15,52
33,8,5,881
34,8,6,7221
35,8,7,9145
36,8,8,6614
37,8,9,4090
38,8,10,4431
39,8,11,7127
40,8,12,8310
41,8,13,4074
42,8,14,1141
43,8,15,156
44,9,5,380
45,9,6,4473
46,9,7,7279
47,9,8,5517
48,9,9,3781
49,9,10,4560
50,9,11,6484
51,9,12,9853
52,9,13,5657
53,9,14,1945
54,9,15,469
55,9,16,3
56,10,5,152
57,10,6,2254
58,10,7,5729
59,10,8,4696
60,10,9,3450
61,10,10,4497
62,10,11,6527
63,10,12,9770
64,10,13,6585
65,10,14,2818
66,10,15,826
67,10,16,85
68,10,17,12
69,11,6,1071
70,11,7,3649
71,11,8,3765
72,11,9,3347
73,11,10,4114
74,11,11,6210
75,11,12,8544
76,11,13,7235
77,11,14,3561
78,11,15,1171
79,11,16,244
80,11,17,67
81,12,6,361
82,12,7,2235
83,12,8,3372
84,12,9,3242
85,12,10,3245
86,12,11,6173
87,12,12,7389
88,12,13,7490
89,12,14,4365
90,12,15,1755
91,12,16,481
92,12,17,99
93,12,18,25
94,13,6,168
95,13,7,1131
96,13,8,2763
97,13,9,3355
98,13,10,2586
99,13,11,5479
100,13,12,6792
101,13,13,7985
102,13,14,5244
103,13,15,2457
104,13,16,553
105,13,17,108
106,13,18,68
107,13,19,22
108,14,6,76
109,14,7,637
110,14,8,1859
111,14,9,2843
112,14,10,1637
113,14,11,4824
114,14,12,6462
115,14,13,8063
116,14,14,6090
117,14,15,3034
118,14,16,1002
119,14,17,180
120,14,18,79
121,14,19,31
122,15,6,32
123,15,7,534
124,15,8,1202
125,15,9,1698
126,15,10,1259
127,15,11,3418
128,15,12,6444
129,15,13,7496
130,15,14,6741
131,15,15,3999
132,15,16,1638
133,15,17,301
134,15,18,112
135,15,19,57
136,15,20,24
137,16,7,178
138,16,8,656
139,16,9,1236
140,16,10,866
141,16,11,3095
142,16,12,6278
143,16,13,6701
144,16,14,7666
145,16,15,4524
146,16,16,2322
147,16,17,801
148,16,18,215
149,16,19,102
150,16,20,54
151,17,7,125
152,17,8,566
153,17,9,810
154,17,10,884
155,17,11,2375
156,17,12,5667
157,17,13,6263
158,17,14,7252
159,17,15,5291
160,17,16,2954
161,17,17,1270
162,17,18,269
163,17,19,202
164,17,20,103
165,18,8,353
166,18,9,771
167,18,10,778
168,18,11,1864
169,18,12,4199
170,18,13,6473
171,18,14,7325
172,18,15,5606
173,18,16,3768
174,18,17,1695
175,18,18,345
176,18,19,204
177,18,20,109
178,19,8,241
179,19,9,549
180,19,10,551
181,19,11,1423
182,19,12,3787
183,19,13,5865
184,19,14,7986
185,19,15,6860
186,19,16,4236
187,19,17,2073
188,19,18,507
189,19,19,153
190,19,20,154
191,19,21,11
192,20,8,77
193,20,9,231
194,20,10,525
195,20,11,961
196,20,12,3177
