Hour,Requests_Hourly,Served_Hourly,serve_percentage
0,26576,8350,31.41932570740518
1,24209,7859,32.46313354537569
2,22763,7361,32.33756534727409
3,22186,7103,32.01568556747498
4,19313,6748,34.940195723088074
5,10052,7297,72.5925189017111
6,6070,5464,90.0164744645799
7,3725,3443,92.42953020134227
8,2567,2310,89.98831320607714
9,1887,1779,94.27662957074722
10,2728,2498,91.56891495601172
11,8707,5416,62.20282531296658
12,15405,7455,48.393378773125605
13,21036,8299,39.45141661912911
14,22339,8741,39.128877747437215
15,19942,9037,45.316417611072104
16,18397,9295,50.524542044898624
17,19389,9358,48.26447985971427
18,19485,9484,48.67333846548627
19,19383,8991,46.386008357839344
20,17988,9365,52.06248610184567
21,14773,9531,64.51634739050971
22,19137,9145,47.78700945811778
23,25012,8638,34.53542299696146
