,id,Num_Passengers
0,521,11
1,6485,11
2,8007,11
3,8008,11
4,8009,11
5,521,4
6,6485,4
7,8007,4
8,8008,4
9,8009,4
10,521,4
11,6485,4
12,8007,4
13,8008,4
14,8009,4
15,521,6
16,6485,6
17,8007,6
18,8008,6
19,8009,6
20,521,5
21,6485,5
22,8007,5
23,8008,5
24,8009,5
25,521,1
26,6485,1
27,8007,1
28,8008,1
29,8009,1
30,521,10
31,6485,10
32,8007,10
33,8008,10
34,8009,10
35,521,6
36,6485,6
37,8007,6
38,8008,6
39,8009,6
40,521,18
41,6485,18
42,8007,18
43,8008,18
44,8009,18
45,521,1
46,6485,1
47,8007,1
48,8008,1
49,8009,1
50,521,8
51,6485,8
52,8007,8
53,8008,8
54,8009,8
55,521,10
56,6485,10
57,8007,10
58,8008,10
59,8009,10
60,521,8
61,6485,8
62,8007,8
63,8008,8
64,8009,8
65,521,8
66,6485,8
67,8007,8
68,8008,8
69,8009,8
70,521,27
71,6485,27
72,8007,27
73,8008,27
74,8009,27
75,521,11
76,6485,11
77,8007,11
78,8008,11
79,8009,11
80,521,0
81,6485,0
82,8007,0
83,8008,0
84,8009,0
85,521,9
86,6485,9
87,8007,9
88,8008,9
89,8009,9
90,521,9
91,6485,9
92,8007,9
93,8008,9
94,8009,9
95,521,7
96,6485,7
97,8007,7
98,8008,7
99,8009,7
100,521,23
101,6485,23
102,8007,23
103,8008,23
104,8009,23
105,521,13
106,6485,13
107,8007,13
108,8008,13
109,8009,13
110,521,6
111,6485,6
112,8007,6
113,8008,6
114,8009,6
115,521,23
116,6485,23
117,8007,23
118,8008,23
119,8009,23
120,521,0
121,6485,0
122,8007,0
123,8008,0
124,8009,0
125,521,4
126,6485,4
127,8007,4
128,8008,4
129,8009,4
130,521,5
131,6485,5
132,8007,5
133,8008,5
134,8009,5
135,521,13
136,6485,13
137,8007,13
138,8008,13
139,8009,13
140,521,0
141,6485,0
142,8007,0
143,8008,0
144,8009,0
145,521,4
146,6485,4
147,8007,4
148,8008,4
149,8009,4
150,521,0
151,6485,0
152,8007,0
153,8008,0
154,8009,0
155,521,28
156,6485,28
157,8007,28
158,8008,28
159,8009,28
160,521,8
161,6485,8
162,8007,8
163,8008,8
164,8009,8
165,521,3
166,6485,3
167,8007,3
168,8008,3
169,8009,3
170,521,9
171,6485,9
172,8007,9
173,8008,9
174,8009,9
175,521,11
176,6485,11
177,8007,11
178,8008,11
179,8009,11
180,521,21
181,6485,21
182,8007,21
183,8008,21
184,8009,21
185,521,4
186,6485,4
187,8007,4
188,8008,4
189,8009,4
190,521,6
191,6485,6
192,8007,6
193,8008,6
194,8009,6
195,521,8
196,6485,8
197,8007,8
198,8008,8
199,8009,8
200,521,5
201,6485,5
202,8007,5
203,8008,5
204,8009,5
205,521,69
206,6485,69
207,8007,69
208,8008,69
209,8009,69
210,521,49
211,6485,49
212,8007,49
213,8008,49
214,8009,49
215,521,62
216,6485,62
217,8007,62
218,8008,62
219,8009,62
220,521,53
221,6485,53
222,8007,53
223,8008,53
224,8009,53
225,521,65
226,6485,65
227,8007,65
228,8008,65
229,8009,65
230,521,71
231,6485,71
232,8007,71
233,8008,71
234,8009,71
235,521,62
236,6485,62
237,8007,62
238,8008,62
239,8009,62
240,521,62
241,6485,62
242,8007,62
243,8008,62
244,8009,62
245,521,41
246,6485,41
247,8007,41
248,8008,41
249,8009,41
250,521,63
251,6485,63
252,8007,63
253,8008,63
254,8009,63
255,521,57
256,6485,57
257,8007,57
258,8008,57
259,8009,57
260,521,66
261,6485,66
262,8007,66
263,8008,66
264,8009,66
265,521,28
266,6485,28
267,8007,28
268,8008,28
269,8009,28
270,521,62
271,6485,62
272,8007,62
273,8008,62
274,8009,62
275,521,67
276,6485,67
277,8007,67
278,8008,67
279,8009,67
280,521,54
281,6485,54
282,8007,54
283,8008,54
284,8009,54
285,521,50
286,6485,50
287,8007,50
288,8008,50
289,8009,50
290,521,66
291,6485,66
292,8007,66
293,8008,66
294,8009,66
295,521,53
296,6485,53
297,8007,53
298,8008,53
299,8009,53
300,521,74
301,6485,74
302,8007,74
303,8008,74
304,8009,74
305,521,61
306,6485,61
307,8007,61
308,8008,61
309,8009,61
310,521,58
311,6485,58
312,8007,58
313,8008,58
314,8009,58
315,521,67
316,6485,67
317,8007,67
318,8008,67
319,8009,67
320,521,64
321,6485,64
322,8007,64
323,8008,64
324,8009,64
325,521,64
326,6485,64
327,8007,64
328,8008,64
329,8009,64
330,521,62
331,6485,62
332,8007,62
333,8008,62
334,8009,62
335,521,61
336,6485,61
337,8007,61
338,8008,61
339,8009,61
340,521,65
341,6485,65
342,8007,65
343,8008,65
344,8009,65
345,521,50
346,6485,50
347,8007,50
348,8008,50
349,8009,50
350,521,56
351,6485,56
352,8007,56
353,8008,56
354,8009,56
355,521,60
356,6485,60
357,8007,60
358,8008,60
359,8009,60
360,521,58
361,6485,58
362,8007,58
363,8008,58
364,8009,58
365,521,56
366,6485,56
367,8007,56
368,8008,56
369,8009,56
370,521,62
371,6485,62
372,8007,62
373,8008,62
374,8009,62
375,521,55
376,6485,55
377,8007,55
378,8008,55
379,8009,55
380,521,47
381,6485,47
382,8007,47
383,8008,47
384,8009,47
385,521,59
386,6485,59
